category                      | 2019-01-01 | 2019-02-01 | 2019-03-01 | 2019-04-01 | 2019-05-01 | 2019-06-01 | 2019-07-01 | 2019-08-01 | 2019-09-01 | 2019-10-01 | 2019-11-01 | 2019-12-01
payroll - officer wages       | 0          | 0          | 0          | 4791       | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0
payroll - regular wages       | 4275       | 4725       | 5467.5     | 6172.25    | 5661       | 5990       | 6312.01    | 6287.78    | 0          | 12013.52   | 8580.39    | 8251.51
payroll - other               | 522.16     | 577.16     | 667.84     | 1332.14    | 676.34     | 724.63     | 761.82     | 746.75     | -.13       | 1462.29    | 1014.47    | -8485.47

postage                       | 0          | 0          | 0          | 0          | 26.11      | 547.71     | 14.59      | 76.69      | 61.54      | 38.27      | 0          | 24.05

accounting                    | 876.70     | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 145        | 0          | 917.5
consulting                    | 727        | 60         | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0
professional - other          | 0          | 0          | 0          | 0          | 0          | 360        | 0          | 0          | 0          | 0          | 0          | 0

discrepancies                 | 0          | 0          | 0          | 0          | 0          | 0.2        | 0          | 0          | 0          | 0          | 0          | 0
rent                          | 3642.08    | 3642.08    | 3642.08    | 3642.08    | 3654.74    | 4654.74    | 3654.74    | 3654.74    | 3654.74    | 429.74     | 429.74     | 3809.73

cleaning                      | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 385        | 0          | 0
repairs                       | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 216        | 50         | 0          | 0
security                      | 1195       | 1050       | 942        | 800        | 285        | 340        | 305        | 565        | 125        | 225        | 125        | 0
maintenance                   | 235.75     | 203.82     | 125.29     | 496.75     | 1650.53    | 200.17     | 605.55     | 163.06     | 71.80      | 152.56     | 43.16      | 75.57

restaurant operating supplies | 50.99      | 33.50      | 491.99     | 0          | 218.43     | 126.79     | 73.97      | 59.15      | 86.78      | 182.94     | 339.99     | 848.05
taxes - payroll               | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 9648.22
telephone                     | 257.56     | 318.62     | 358.61     | 281.54     | 306.64     | 306.31     | 368.81     | 255.06     | 93.40      | 311.55     | 113.39     | 123.39
travel                        | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 274.82     | 0          | 0          | 0
utilities                     | 3018.81    | 1385.06    | 1621.5     | 2170.45    | 491.81     | 1802.72    | 3193.93    | 1735.01    | 2177.42    | 2714.21    | 1989.46    | 4182.78
voided check                  | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0

interest                      | .09        | .02        | .17        | .27        | .40        | .09        | .06        | 4.07       | .17        | .18        | .37        | .3
ask my accountant             | 0          | 0          | 0          | 0          | -4200      | 273.       | -3000      | -2393.49   | 255.41     | 56.97      | 633.37     | 2326.98
vendor reporting paid         | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 7500       | 0
